,state,year,condition,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
636,arizona,1978,min ,0.0,1.0,4.0,5.0,8.0,15.0,18.0,17.0,14.0,10.0,3.0,-3.0
637,arizona,1978,max ,12.0,13.0,18.0,21.0,27.0,34.0,36.0,33.0,29.0,26.0,16.0,9.0
638,arizona,1978,mean ,6.0,7.0,11.0,13.0,18.0,24.0,27.0,25.0,22.0,18.0,9.0,3.0
651,arizona,1983,min ,-1.0,1.0,3.0,3.0,8.0,13.0,18.0,18.0,16.0,9.0,2.0,1.0
652,arizona,1983,max ,13.0,13.0,15.0,18.0,27.0,32.0,34.0,32.0,31.0,23.0,16.0,13.0
653,arizona,1983,mean ,6.0,7.0,9.0,11.0,18.0,22.0,26.0,25.0,23.0,16.0,9.0,7.0
666,arizona,1988,min ,-2.0,1.0,1.0,6.0,9.0,16.0,19.0,18.0,13.0,11.0,2.0,-2.0
667,arizona,1988,max ,11.0,16.0,18.0,22.0,27.0,33.0,35.0,32.0,29.0,27.0,17.0,12.0
668,arizona,1988,mean ,4.0,8.0,10.0,14.0,18.0,24.0,27.0,25.0,21.0,19.0,10.0,5.0
681,arizona,1993,min ,1.0,1.0,3.0,6.0,11.0,14.0,17.0,18.0,13.0,8.0,1.0,-2.0
682,arizona,1993,max ,11.0,12.0,18.0,23.0,28.0,33.0,34.0,32.0,31.0,23.0,16.0,13.0
683,arizona,1993,mean ,6.0,7.0,11.0,14.0,19.0,23.0,26.0,25.0,22.0,16.0,8.0,5.0
696,arizona,1998,min ,-1.0,-1.0,2.0,3.0,8.0,13.0,19.0,19.0,15.0,7.0,2.0,-2.0
697,arizona,1998,max ,13.0,11.0,17.0,19.0,26.0,31.0,35.0,34.0,31.0,24.0,18.0,13.0
698,arizona,1998,mean ,6.0,6.0,9.0,11.0,17.0,22.0,27.0,27.0,23.0,16.0,10.0,6.0
711,arizona,2003,min ,1.0,1.0,3.0,4.0,11.0,15.0,20.0,19.0,15.0,11.0,2.0,-2.0
712,arizona,2003,max ,17.0,13.0,18.0,21.0,29.0,34.0,37.0,34.0,32.0,28.0,16.0,13.0
713,arizona,2003,mean ,9.0,7.0,10.0,13.0,20.0,24.0,28.0,27.0,23.0,19.0,9.0,6.0
726,arizona,2008,min ,-2.0,0.0,2.0,5.0,8.0,16.0,19.0,19.0,15.0,8.0,4.0,-1.0
727,arizona,2008,max ,11.0,14.0,19.0,23.0,26.0,34.0,34.0,33.0,31.0,26.0,19.0,12.0
728,arizona,2008,mean ,4.0,7.0,11.0,14.0,17.0,25.0,27.0,26.0,23.0,17.0,12.0,6.0
741,arizona,2013,min ,-4.0,-2.0,4.0,7.0,11.0,17.0,20.0,18.0,15.0,6.0,3.0,-2.0
742,arizona,2013,max ,11.0,13.0,21.0,23.0,28.0,36.0,34.0,33.0,29.0,23.0,18.0,12.0
743,arizona,2013,mean ,3.0,6.0,12.0,15.0,19.0,26.0,27.0,26.0,22.0,14.0,11.0,5.0
756,arizona,2018,min ,1.0,1.0,3.0,8.0,11.0,16.0,20.0,19.0,16.0,9.0,2.0,-1.0
757,arizona,2018,max ,16.0,16.0,19.0,26.0,29.0,35.0,36.0,34.0,32.0,22.0,17.0,12.0
758,arizona,2018,mean ,8.0,8.0,11.0,17.0,20.0,26.0,28.0,27.0,24.0,15.0,9.0,6.0
771,arizona,2023,min ,-2.0,-2.0,2.0,6.0,10.0,13.0,21.0,19.0,14.0,9.0,,
772,arizona,2023,max ,11.0,12.0,15.0,23.0,28.0,32.0,38.0,34.0,31.0,27.0,,
773,arizona,2023,mean ,4.0,5.0,8.0,14.0,19.0,22.0,29.0,27.0,23.0,18.0,,
1410,california,1978,min ,3.0,3.0,6.0,5.0,8.0,12.0,15.0,15.0,12.0,9.0,2.0,-2.0
1411,california,1978,max ,11.0,13.0,17.0,16.0,24.0,28.0,32.0,31.0,27.0,26.0,14.0,9.0
1412,california,1978,mean ,7.0,8.0,11.0,11.0,16.0,21.0,23.0,23.0,19.0,17.0,8.0,4.0
1425,california,1983,min ,2.0,3.0,4.0,4.0,8.0,12.0,14.0,16.0,14.0,9.0,4.0,3.0
1426,california,1983,max ,12.0,13.0,13.0,16.0,23.0,27.0,30.0,30.0,29.0,23.0,14.0,11.0
1427,california,1983,mean ,7.0,8.0,9.0,9.0,16.0,19.0,22.0,23.0,22.0,16.0,9.0,7.0
1440,california,1988,min ,1.0,2.0,3.0,6.0,8.0,12.0,17.0,15.0,12.0,10.0,4.0,0.0
1441,california,1988,max ,11.0,16.0,18.0,19.0,23.0,28.0,33.0,32.0,29.0,26.0,15.0,11.0
1442,california,1988,mean ,6.0,9.0,11.0,13.0,16.0,20.0,25.0,23.0,21.0,18.0,9.0,6.0
1455,california,1993,min ,1.0,2.0,6.0,6.0,9.0,12.0,14.0,14.0,12.0,9.0,2.0,0.0
1456,california,1993,max ,9.0,11.0,17.0,19.0,24.0,27.0,30.0,31.0,29.0,23.0,16.0,12.0
1457,california,1993,mean ,5.0,7.0,11.0,13.0,17.0,20.0,22.0,23.0,21.0,16.0,9.0,6.0
1470,california,1998,min ,2.0,2.0,3.0,4.0,7.0,11.0,16.0,16.0,13.0,7.0,3.0,-1.0
1471,california,1998,max ,12.0,11.0,15.0,17.0,18.0,26.0,32.0,33.0,28.0,21.0,14.0,11.0
1472,california,1998,mean ,7.0,6.0,9.0,11.0,12.0,18.0,24.0,25.0,21.0,14.0,9.0,6.0
1485,california,2003,min ,4.0,2.0,4.0,4.0,9.0,13.0,17.0,16.0,14.0,10.0,2.0,2.0
1486,california,2003,max ,16.0,13.0,17.0,16.0,24.0,30.0,34.0,32.0,31.0,27.0,13.0,11.0
1487,california,2003,mean ,10.0,7.0,11.0,10.0,17.0,22.0,26.0,24.0,22.0,18.0,8.0,7.0
1500,california,2008,min ,0.0,1.0,3.0,4.0,9.0,13.0,16.0,16.0,13.0,8.0,6.0,0.0
1501,california,2008,max ,9.0,13.0,17.0,20.0,24.0,30.0,33.0,33.0,31.0,24.0,18.0,11.0
1502,california,2008,mean ,5.0,7.0,10.0,12.0,16.0,22.0,24.0,24.0,22.0,16.0,12.0,6.0
1515,california,2013,min ,-1.0,1.0,5.0,7.0,10.0,14.0,17.0,15.0,13.0,7.0,4.0,0.0
1516,california,2013,max ,12.0,14.0,19.0,22.0,25.0,31.0,33.0,32.0,28.0,22.0,17.0,13.0
1517,california,2013,mean ,6.0,7.0,12.0,14.0,17.0,22.0,26.0,23.0,21.0,14.0,11.0,7.0
1530,california,2018,min ,4.0,1.0,3.0,7.0,10.0,13.0,18.0,16.0,13.0,9.0,4.0,2.0
1531,california,2018,max ,14.0,15.0,15.0,21.0,24.0,30.0,34.0,33.0,30.0,23.0,18.0,12.0
1532,california,2018,mean ,9.0,8.0,9.0,14.0,17.0,22.0,26.0,24.0,22.0,16.0,11.0,7.0
1545,california,2023,min ,1.0,-1.0,1.0,6.0,9.0,12.0,17.0,16.0,13.0,9.0,,
1546,california,2023,max ,11.0,12.0,12.0,20.0,23.0,27.0,34.0,32.0,27.0,24.0,,
1547,california,2023,mean ,6.0,6.0,7.0,13.0,17.0,19.0,26.0,24.0,20.0,17.0,,
1797,colorado,1978,min ,-11.0,-10.0,-4.0,-1.0,3.0,8.0,11.0,9.0,6.0,0.0,-6.0,-14.0
1798,colorado,1978,max ,1.0,2.0,10.0,14.0,17.0,25.0,29.0,26.0,23.0,17.0,7.0,-1.0
1799,colorado,1978,mean ,-5.0,-4.0,3.0,7.0,9.0,17.0,20.0,18.0,14.0,9.0,1.0,-8.0
1812,colorado,1983,min ,-9.0,-8.0,-5.0,-4.0,2.0,7.0,12.0,12.0,7.0,1.0,-6.0,-13.0
1813,colorado,1983,max ,4.0,6.0,7.0,9.0,16.0,22.0,28.0,28.0,24.0,17.0,7.0,-2.0
1814,colorado,1983,mean ,-3.0,-1.0,1.0,3.0,9.0,14.0,19.0,20.0,16.0,9.0,1.0,-8.0
1827,colorado,1988,min ,-14.0,-10.0,-8.0,-2.0,3.0,10.0,11.0,11.0,5.0,1.0,-6.0,-11.0
1828,colorado,1988,max ,-1.0,4.0,8.0,14.0,19.0,26.0,28.0,27.0,22.0,18.0,8.0,3.0
1829,colorado,1988,mean ,-7.0,-3.0,0.0,6.0,11.0,18.0,19.0,19.0,13.0,9.0,1.0,-4.0
1842,colorado,1993,min ,-11.0,-10.0,-5.0,-2.0,4.0,7.0,10.0,10.0,4.0,-1.0,-9.0,-10.0
1843,colorado,1993,max ,1.0,2.0,9.0,13.0,19.0,24.0,27.0,25.0,21.0,14.0,5.0,4.0
1844,colorado,1993,mean ,-5.0,-4.0,2.0,6.0,11.0,16.0,19.0,17.0,13.0,7.0,-2.0,-3.0
1857,colorado,1998,min ,-9.0,-8.0,-7.0,-3.0,4.0,7.0,13.0,11.0,8.0,1.0,-4.0,-11.0
1858,colorado,1998,max ,4.0,4.0,8.0,12.0,21.0,23.0,28.0,27.0,25.0,15.0,9.0,4.0
1859,colorado,1998,mean ,-2.0,-2.0,1.0,5.0,12.0,15.0,21.0,19.0,17.0,8.0,3.0,-3.0
1872,colorado,2003,min ,-8.0,-10.0,-5.0,-1.0,4.0,7.0,13.0,12.0,5.0,2.0,-6.0,-9.0
1873,colorado,2003,max ,7.0,3.0,9.0,15.0,20.0,23.0,32.0,28.0,22.0,19.0,7.0,5.0
1874,colorado,2003,mean ,-1.0,-3.0,2.0,7.0,12.0,16.0,22.0,20.0,13.0,11.0,1.0,-2.0
1887,colorado,2008,min ,-13.0,-9.0,-7.0,-4.0,2.0,7.0,12.0,11.0,6.0,0.0,-4.0,-11.0
1888,colorado,2008,max ,1.0,4.0,8.0,13.0,18.0,25.0,29.0,26.0,22.0,17.0,11.0,3.0
1889,colorado,2008,mean ,-7.0,-3.0,1.0,4.0,11.0,16.0,21.0,18.0,14.0,8.0,3.0,-4.0
1902,colorado,2013,min ,-13.0,-11.0,-6.0,-3.0,3.0,9.0,12.0,11.0,8.0,-1.0,-6.0,-12.0
1903,colorado,2013,max ,2.0,3.0,9.0,12.0,19.0,28.0,28.0,27.0,23.0,14.0,8.0,2.0
1904,colorado,2013,mean ,-6.0,-4.0,2.0,4.0,11.0,18.0,20.0,19.0,16.0,7.0,2.0,-5.0
1917,colorado,2018,min ,-9.0,-9.0,-5.0,-2.0,6.0,10.0,12.0,11.0,8.0,1.0,-7.0,-10.0
1918,colorado,2018,max ,6.0,5.0,11.0,14.0,22.0,28.0,29.0,27.0,25.0,14.0,7.0,4.0
1919,colorado,2018,mean ,-2.0,-2.0,3.0,7.0,14.0,19.0,21.0,19.0,16.0,7.0,0.0,-3.0
1932,colorado,2023,min ,-11.0,-11.0,-8.0,-3.0,5.0,8.0,12.0,12.0,7.0,1.0,,
1933,colorado,2023,max ,1.0,3.0,6.0,13.0,19.0,23.0,29.0,28.0,24.0,17.0,,
1934,colorado,2023,mean ,-4.0,-4.0,-1.0,5.0,12.0,16.0,21.0,19.0,16.0,9.0,,
2958,florida,1978,min ,5.0,4.0,10.0,13.0,18.0,21.0,22.0,22.0,21.0,16.0,14.0,11.0
2959,florida,1978,max ,17.0,17.0,23.0,28.0,31.0,32.0,32.0,32.0,32.0,28.0,26.0,23.0
2960,florida,1978,mean ,11.0,11.0,16.0,21.0,24.0,27.0,27.0,27.0,26.0,22.0,20.0,17.0
2973,florida,1983,min ,7.0,8.0,10.0,12.0,17.0,21.0,22.0,22.0,20.0,17.0,11.0,9.0
2974,florida,1983,max ,18.0,19.0,22.0,25.0,29.0,31.0,33.0,33.0,31.0,28.0,23.0,20.0
2975,florida,1983,mean ,13.0,14.0,16.0,19.0,23.0,26.0,28.0,28.0,25.0,23.0,17.0,14.0
2988,florida,1988,min ,7.0,7.0,11.0,14.0,16.0,20.0,22.0,22.0,22.0,14.0,14.0,8.0
2989,florida,1988,max ,18.0,21.0,23.0,27.0,29.0,32.0,32.0,32.0,31.0,28.0,26.0,22.0
2990,florida,1988,mean ,12.0,14.0,17.0,21.0,23.0,26.0,27.0,27.0,27.0,21.0,19.0,15.0
3003,florida,1993,min ,12.0,8.0,11.0,12.0,17.0,21.0,22.0,22.0,21.0,17.0,13.0,7.0
3004,florida,1993,max ,22.0,21.0,23.0,26.0,29.0,33.0,33.0,33.0,32.0,28.0,24.0,20.0
3005,florida,1993,mean ,17.0,14.0,17.0,18.0,23.0,27.0,28.0,28.0,26.0,23.0,18.0,13.0
3018,florida,1998,min ,10.0,9.0,11.0,14.0,18.0,22.0,23.0,23.0,22.0,18.0,15.0,12.0
3019,florida,1998,max ,21.0,21.0,23.0,27.0,32.0,35.0,34.0,33.0,31.0,29.0,26.0,24.0
3020,florida,1998,mean ,16.0,16.0,17.0,21.0,25.0,29.0,28.0,28.0,27.0,24.0,21.0,18.0
3033,florida,2003,min ,4.0,9.0,16.0,14.0,19.0,22.0,22.0,22.0,21.0,17.0,14.0,6.0
3034,florida,2003,max ,18.0,23.0,26.0,27.0,31.0,31.0,32.0,32.0,31.0,28.0,26.0,20.0
3035,florida,2003,mean ,11.0,16.0,21.0,21.0,26.0,27.0,27.0,27.0,26.0,23.0,20.0,13.0
3048,florida,2008,min ,8.0,10.0,11.0,14.0,18.0,21.0,22.0,23.0,21.0,16.0,9.0,10.0
3049,florida,2008,max ,21.0,24.0,24.0,27.0,31.0,33.0,32.0,32.0,31.0,27.0,23.0,23.0
3050,florida,2008,mean ,14.0,17.0,18.0,21.0,24.0,27.0,27.0,27.0,26.0,22.0,16.0,17.0
3063,florida,2013,min ,12.0,10.0,8.0,16.0,17.0,22.0,22.0,23.0,22.0,18.0,14.0,12.0
3064,florida,2013,max ,23.0,23.0,22.0,28.0,29.0,32.0,31.0,32.0,31.0,28.0,24.0,23.0
3065,florida,2013,mean ,18.0,16.0,15.0,22.0,23.0,27.0,27.0,28.0,27.0,23.0,19.0,18.0
3078,florida,2018,min ,7.0,15.0,10.0,14.0,19.0,22.0,23.0,23.0,23.0,19.0,13.0,11.0
3079,florida,2018,max ,18.0,26.0,24.0,28.0,29.0,32.0,33.0,33.0,33.0,30.0,25.0,22.0
3080,florida,2018,mean ,13.0,21.0,17.0,21.0,24.0,27.0,28.0,28.0,28.0,24.0,19.0,16.0
3093,florida,2023,min ,9.0,13.0,14.0,17.0,18.0,21.0,23.0,24.0,22.0,17.0,,
3094,florida,2023,max ,23.0,26.0,27.0,29.0,31.0,32.0,34.0,34.0,32.0,28.0,,
3095,florida,2023,mean ,16.0,19.0,21.0,23.0,24.0,27.0,29.0,29.0,27.0,23.0,,
4893,iowa,1978,min ,-18.0,-17.0,-7.0,3.0,9.0,14.0,17.0,15.0,13.0,3.0,-4.0,-12.0
4894,iowa,1978,max ,-8.0,-6.0,4.0,14.0,21.0,27.0,28.0,28.0,26.0,17.0,7.0,-3.0
4895,iowa,1978,mean ,-13.0,-12.0,-1.0,9.0,15.0,21.0,22.0,22.0,19.0,9.0,2.0,-7.0
4908,iowa,1983,min ,-9.0,-6.0,-2.0,1.0,7.0,14.0,18.0,18.0,11.0,4.0,-1.0,-18.0
4909,iowa,1983,max ,-1.0,2.0,6.0,11.0,19.0,27.0,31.0,32.0,24.0,16.0,7.0,-9.0
4910,iowa,1983,mean ,-5.0,-2.0,2.0,6.0,13.0,21.0,25.0,26.0,18.0,11.0,3.0,-14.0
4923,iowa,1988,min ,-15.0,-13.0,-4.0,1.0,11.0,15.0,17.0,17.0,11.0,1.0,-3.0,-9.0
4924,iowa,1988,max ,-4.0,-2.0,10.0,17.0,26.0,31.0,31.0,31.0,25.0,14.0,8.0,2.0
4925,iowa,1988,mean ,-9.0,-8.0,3.0,9.0,18.0,23.0,24.0,24.0,18.0,8.0,3.0,-4.0
4938,iowa,1993,min ,-13.0,-11.0,-5.0,1.0,9.0,13.0,17.0,17.0,8.0,3.0,-4.0,-8.0
4939,iowa,1993,max ,-3.0,-4.0,3.0,13.0,21.0,25.0,27.0,27.0,19.0,16.0,6.0,1.0
4940,iowa,1993,mean ,-8.0,-8.0,-1.0,7.0,15.0,19.0,22.0,22.0,14.0,9.0,1.0,-4.0
4953,iowa,1998,min ,-9.0,-2.0,-4.0,4.0,12.0,14.0,17.0,17.0,13.0,6.0,-1.0,-7.0
4954,iowa,1998,max ,-1.0,5.0,4.0,15.0,24.0,24.0,28.0,28.0,27.0,17.0,9.0,4.0
4955,iowa,1998,mean ,-5.0,1.0,0.0,9.0,18.0,19.0,23.0,22.0,20.0,12.0,4.0,-2.0
4968,iowa,2003,min ,-13.0,-13.0,-4.0,3.0,8.0,13.0,17.0,16.0,9.0,3.0,-3.0,-7.0
4969,iowa,2003,max ,-2.0,-1.0,8.0,17.0,21.0,26.0,29.0,30.0,23.0,18.0,7.0,2.0
4970,iowa,2003,mean ,-7.0,-7.0,2.0,10.0,14.0,19.0,23.0,23.0,16.0,11.0,2.0,-2.0
4983,iowa,2008,min ,-14.0,-13.0,-5.0,2.0,7.0,14.0,17.0,14.0,11.0,4.0,-2.0,-14.0
4984,iowa,2008,max ,-4.0,-4.0,5.0,13.0,21.0,27.0,28.0,27.0,23.0,17.0,8.0,-3.0
4985,iowa,2008,mean ,-9.0,-8.0,0.0,8.0,14.0,21.0,23.0,21.0,17.0,10.0,3.0,-8.0
4998,iowa,2013,min ,-11.0,-9.0,-7.0,1.0,9.0,15.0,16.0,16.0,12.0,4.0,-5.0,-13.0
4999,iowa,2013,max ,-1.0,0.0,3.0,12.0,21.0,26.0,28.0,28.0,26.0,16.0,6.0,-3.0
5000,iowa,2013,mean ,-6.0,-4.0,-2.0,6.0,15.0,20.0,22.0,22.0,19.0,10.0,1.0,-8.0
5013,iowa,2018,min ,-13.0,-12.0,-3.0,-2.0,13.0,17.0,17.0,16.0,13.0,3.0,-6.0,-7.0
5014,iowa,2018,max ,-3.0,-2.0,6.0,10.0,26.0,28.0,28.0,28.0,24.0,14.0,3.0,2.0
5015,iowa,2018,mean ,-8.0,-7.0,2.0,4.0,19.0,23.0,23.0,22.0,18.0,9.0,-1.0,-2.0
5028,iowa,2023,min ,-8.0,-9.0,-4.0,2.0,9.0,14.0,16.0,16.0,12.0,6.0,,
5029,iowa,2023,max ,-1.0,2.0,6.0,17.0,24.0,28.0,28.0,28.0,26.0,18.0,,
5030,iowa,2023,mean ,-4.0,-3.0,1.0,9.0,17.0,22.0,22.0,22.0,19.0,12.0,,
5280,kansas,1978,min ,-13.0,-11.0,-2.0,6.0,10.0,16.0,19.0,17.0,14.0,4.0,-1.0,-8.0
5281,kansas,1978,max ,-2.0,-1.0,12.0,20.0,23.0,30.0,35.0,33.0,30.0,22.0,11.0,5.0
5282,kansas,1978,mean ,-7.0,-6.0,5.0,13.0,16.0,23.0,27.0,25.0,22.0,13.0,5.0,-2.0
5295,kansas,1983,min ,-6.0,-4.0,0.0,2.0,8.0,14.0,19.0,21.0,13.0,8.0,1.0,-14.0
5296,kansas,1983,max ,4.0,7.0,11.0,14.0,22.0,28.0,35.0,37.0,29.0,20.0,12.0,-4.0
5297,kansas,1983,mean ,-1.0,2.0,5.0,8.0,15.0,21.0,27.0,28.0,22.0,14.0,6.0,-9.0
5310,kansas,1988,min ,-10.0,-8.0,-2.0,3.0,12.0,17.0,18.0,18.0,13.0,4.0,-1.0,-6.0
5311,kansas,1988,max ,2.0,7.0,14.0,19.0,26.0,33.0,32.0,33.0,28.0,19.0,14.0,10.0
5312,kansas,1988,mean ,-4.0,0.0,6.0,11.0,19.0,25.0,26.0,26.0,20.0,12.0,7.0,2.0
5325,kansas,1993,min ,-9.0,-7.0,-1.0,3.0,11.0,15.0,19.0,18.0,10.0,5.0,-4.0,-4.0
5326,kansas,1993,max ,1.0,3.0,11.0,16.0,23.0,28.0,31.0,31.0,24.0,19.0,10.0,8.0
5327,kansas,1993,mean ,-4.0,-2.0,5.0,10.0,17.0,22.0,25.0,24.0,17.0,12.0,3.0,2.0
5340,kansas,1998,min ,-5.0,-1.0,-2.0,4.0,12.0,15.0,20.0,18.0,16.0,8.0,2.0,-6.0
5341,kansas,1998,max ,6.0,9.0,9.0,18.0,27.0,31.0,32.0,32.0,31.0,21.0,14.0,8.0
5342,kansas,1998,mean ,0.0,4.0,3.0,11.0,19.0,23.0,26.0,25.0,23.0,14.0,8.0,1.0
5355,kansas,2003,min ,-7.0,-7.0,-1.0,6.0,10.0,14.0,19.0,19.0,11.0,6.0,-1.0,-4.0
5356,kansas,2003,max ,7.0,6.0,13.0,21.0,24.0,28.0,36.0,34.0,26.0,22.0,12.0,8.0
5357,kansas,2003,mean ,-1.0,-1.0,7.0,13.0,17.0,21.0,27.0,27.0,18.0,14.0,6.0,2.0
5370,kansas,2008,min ,-8.0,-7.0,-2.0,3.0,9.0,16.0,19.0,18.0,12.0,6.0,0.0,-8.0
5371,kansas,2008,max ,6.0,6.0,13.0,17.0,24.0,30.0,33.0,30.0,26.0,19.0,13.0,6.0
5372,kansas,2008,mean ,-1.0,0.0,6.0,10.0,17.0,23.0,26.0,24.0,19.0,13.0,7.0,-2.0
5385,kansas,2013,min ,-7.0,-6.0,-3.0,2.0,10.0,16.0,18.0,18.0,14.0,6.0,-2.0,-9.0
5386,kansas,2013,max ,7.0,7.0,11.0,16.0,24.0,31.0,32.0,31.0,29.0,20.0,12.0,5.0
5387,kansas,2013,mean ,0.0,1.0,4.0,9.0,17.0,24.0,25.0,24.0,22.0,13.0,5.0,-2.0
5400,kansas,2018,min ,-9.0,-7.0,-1.0,1.0,14.0,18.0,19.0,18.0,15.0,6.0,-3.0,-5.0
5401,kansas,2018,max ,6.0,7.0,16.0,17.0,29.0,33.0,33.0,31.0,27.0,18.0,9.0,7.0
5402,kansas,2018,mean ,-2.0,-1.0,7.0,8.0,22.0,26.0,26.0,24.0,21.0,12.0,3.0,1.0
5415,kansas,2023,min ,-6.0,-6.0,-2.0,3.0,12.0,16.0,19.0,18.0,14.0,7.0,,
5416,kansas,2023,max ,6.0,9.0,12.0,21.0,26.0,29.0,32.0,33.0,31.0,22.0,,
5417,kansas,2023,mean ,1.0,2.0,6.0,12.0,18.0,23.0,26.0,26.0,22.0,14.0,,
5667,kentucky,1978,min ,-10.0,-11.0,-1.0,7.0,11.0,16.0,18.0,18.0,15.0,4.0,3.0,-3.0
5668,kentucky,1978,max ,-1.0,0.0,11.0,21.0,23.0,29.0,31.0,29.0,28.0,19.0,15.0,8.0
5669,kentucky,1978,mean ,-6.0,-5.0,5.0,13.0,17.0,22.0,24.0,23.0,22.0,12.0,9.0,3.0
5682,kentucky,1983,min ,-4.0,-2.0,2.0,4.0,9.0,15.0,19.0,19.0,13.0,8.0,2.0,-7.0
5683,kentucky,1983,max ,5.0,8.0,13.0,16.0,22.0,28.0,32.0,33.0,28.0,21.0,14.0,3.0
5684,kentucky,1983,mean ,1.0,3.0,8.0,10.0,16.0,22.0,26.0,26.0,21.0,14.0,8.0,-2.0
5697,kentucky,1988,min ,-6.0,-5.0,1.0,5.0,9.0,13.0,18.0,18.0,13.0,3.0,1.0,-3.0
5698,kentucky,1988,max ,4.0,7.0,14.0,20.0,25.0,31.0,32.0,32.0,26.0,17.0,14.0,8.0
5699,kentucky,1988,mean ,-1.0,1.0,7.0,12.0,17.0,22.0,25.0,25.0,19.0,10.0,8.0,3.0
5712,kentucky,1993,min ,-2.0,-5.0,0.0,5.0,11.0,16.0,20.0,18.0,13.0,6.0,1.0,-2.0
5713,kentucky,1993,max ,8.0,7.0,11.0,18.0,24.0,28.0,32.0,31.0,25.0,19.0,12.0,6.0
5714,kentucky,1993,mean ,3.0,1.0,6.0,12.0,18.0,22.0,26.0,24.0,19.0,12.0,7.0,2.0
5727,kentucky,1998,min ,1.0,1.0,3.0,6.0,13.0,17.0,19.0,17.0,14.0,8.0,2.0,-1.0
5728,kentucky,1998,max ,9.0,10.0,13.0,18.0,26.0,28.0,29.0,31.0,31.0,22.0,16.0,10.0
5729,kentucky,1998,mean ,4.0,6.0,8.0,12.0,19.0,23.0,24.0,24.0,23.0,15.0,9.0,4.0
5742,kentucky,2003,min ,-7.0,-3.0,2.0,7.0,12.0,14.0,18.0,18.0,13.0,7.0,4.0,-2.0
5743,kentucky,2003,max ,2.0,5.0,16.0,21.0,23.0,26.0,29.0,30.0,25.0,21.0,16.0,7.0
